PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Left,85590,Education,Other education n.e.c.,48
Left,82990,Administrative and support service activities,Other business support service activities n.e.c.,45
Left,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,32
Left,74990,"Professional, scientific and technical activities",Non-trading company non trading,24
Left,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,16
Left,90030,"Arts, entertainment and recreation",Artistic creation,15
Left,70100,"Professional, scientific and technical activities",Activities of head offices,15
Left,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",12
Left,85600,Education,Educational support services,11
Left,86900,Human health and social work activities,Other human health activities,10
Left,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,10
Left,94990,Other service activities,Activities of other membership organisations n.e.c.,9
Left,99999,Activities of extraterritorial organisations and bodies,Dormant Company,9
Left,59113,Information and communication,Television programme production activities,9
Left,58190,Information and communication,Other publishing activities,9
Left,85320,Education,Technical and vocational secondary education,8
Left,64921,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,8
Left,94920,Other service activities,Activities of political organisations,7
Left,90020,"Arts, entertainment and recreation",Support activities to performing arts,7
Left,90040,"Arts, entertainment and recreation",Operation of arts facilities,7
Left,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,7
Left,85520,Education,Cultural education,7
Left,96090,Other service activities,Other service activities n.e.c.,6
Left,58110,Information and communication,Book publishing,6
Left,94110,Other service activities,Activities of business and employers membership organisations,5
Left,70210,"Professional, scientific and technical activities",Public relations and communications activities,5
Left,85422,Education,Post-graduate level higher education,5
Left,85310,Education,General secondary education,5
Left,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,5
Left,55900,Accommodation and food service activities,Other accommodation,5
Left,56210,Accommodation and food service activities,Event catering activities,5
Left,64205,Financial and insurance activities,Activities of financial services holding companies,5
Left,85410,Education,Post-secondary non-tertiary education,4
Left,68209,Real estate activities,Other letting and operating of own or leased real estate,4
Left,85421,Education,First-degree level higher education,4
Left,85200,Education,Primary education,4
Left,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,4
Left,63990,Information and communication,Other information service activities n.e.c.,4
Left,59132,Information and communication,Video distribution activities,4
Left,35140,"Electricity, gas, steam and air conditioning supply",Trade of electricity,4
Left,35230,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,4
Left,65300,Financial and insurance activities,Pension funding,4
Left,86101,Human health and social work activities,Hospital activities,3
Left,91020,"Arts, entertainment and recreation",Museums activities,3
Left,56101,Accommodation and food service activities,Licenced restaurants,3
Left,59111,Information and communication,Motion picture production activities,3
Left,87300,Human health and social work activities,Residential care activities for the elderly and disabled,3
Left,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",3
Left,68100,Real estate activities,Buying and selling of own real estate,3
Left,90010,"Arts, entertainment and recreation",Performing arts,3
Left,91012,"Arts, entertainment and recreation",Archives activities,3
Left,74901,"Professional, scientific and technical activities",Environmental consulting activities,3
Left,73110,"Professional, scientific and technical activities",Advertising agencies,2
Left,62020,Information and communication,Information technology consultancy activities,2
Left,47781,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in commercial art galleries,2
Left,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity,2
Left,35130,"Electricity, gas, steam and air conditioning supply",Distribution of electricity,2
Left,35210,"Electricity, gas, steam and air conditioning supply",Manufacture of gas,2
Left,35220,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains,2
Left,01500,"Agriculture, Forestry and Fishing",Mixed farming,2
Left,61900,Information and communication,Other telecommunications activities,2
Left,59131,Information and communication,Motion picture distribution activities,2
Left,64303,Financial and insurance activities,Activities of venture and development capital companies,2
Left,81300,Administrative and support service activities,Landscape service activities,2
Left,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,2
Left,41100,Construction,Development of building projects,2
Left,93199,"Arts, entertainment and recreation",Other sports activities,2
Left,91011,"Arts, entertainment and recreation",Library activities,2
Left,62012,Information and communication,Business and domestic software development,2
Left,94120,Other service activities,Activities of professional membership organisations,2
Left,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,2
Left,32990,Manufacturing,Other manufacturing n.e.c.,1
Left,84110,Public administration and defence; compulsory social security,General public administration activities,1
Left,47789,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),1
Left,47820,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale via stalls and markets of textiles, clothing and footwear",1
Left,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet,1
Left,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,1
Left,99000,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,1
Left,11050,Manufacturing,Manufacture of beer,1
Left,10710,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,1
Left,47210,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of fruit and vegetables in specialised stores,1
Left,56302,Accommodation and food service activities,Public houses and bars,1
Left,93110,"Arts, entertainment and recreation",Operation of sports facilities,1
Left,03120,"Agriculture, Forestry and Fishing",Freshwater fishing,1
Left,63110,Information and communication,"Data processing, hosting and related activities",1
Left,62011,Information and communication,Ready-made interactive leisure and entertainment software development,1
Left,73120,"Professional, scientific and technical activities",Media representation services,1
